Timestamp,sex,age,social time,mobile os,have girl/boyfriend,weight,height
18/08/2021 16:15:48,ชาย,21,6,iOS,ไม่มี,64 kg,175
18/08/2021 16:16:12,หญิง,25,3,iOS,มี,45,160
18/08/2021 20:11:10,ชาย,25,3,iOS,มี,72,169
18/08/2021 20:11:11,ชาย,25,5,iOS,มี,60,165
18/08/2021 20:11:16,หญิง,37,3,iOS,มี,58,153
18/08/2021 20:11:17,ชาย,42,2,Android,ไม่มี,90,178
18/08/2021 20:11:20,ชาย,23,10,Android,มี,68,171
18/08/2021 20:11:22,ชาย,34,>10,iOS,มี,76,165
18/08/2021 20:11:22,หญิง,33,3,iOS,ไม่มี,48,155
18/08/2021 20:11:23,ชาย,31,2,Android,มี,65,179
18/08/2021 20:11:23,ชาย,38,8,Android,ไม่มี,72,170
18/08/2021 20:11:25,ชาย,23,>10,iOS,ไม่มี,61,171
18/08/2021 20:11:33,ชาย,37,2,iOS,มี,60,170
18/08/2021 20:11:36,ชาย,47,7,iOS,มี,63,170
18/08/2021 20:11:37,หญิง,22,6,iOS,มี,62,168
18/08/2021 20:11:38,หญิง,31,>10,iOS,มี,48,165
18/08/2021 20:11:39,หญิง,42,2,iOS,ไม่มี,51,160
18/08/2021 20:11:42,ชาย,23,4,iOS,ไม่มี,99,190
18/08/2021 20:11:49,ชาย,42,4,iOS,มี,85,169
18/08/2021 20:11:51,ชาย,17,8,Android,ไม่มี,75,171
18/08/2021 20:11:53,หญิง,35,10,iOS,ไม่มี,46,164
18/08/2021 20:11:59,ชาย,67,2,iOS,มี,77,173
18/08/2021 20:12:02,หญิง,39,3,Android,มี,59,163
18/08/2021 20:12:05,ชาย,38,5,Android,มี,75,177
18/08/2021 20:12:09,ชาย,21,10,iOS,ไม่มี,69,177
18/08/2021 20:12:09,ชาย,56,3,Android,มี,63,156
18/08/2021 20:12:11,ชาย,24,>10,iOS,ไม่มี,48,167
18/08/2021 20:12:18,หญิง,26,1,iOS,ไม่มี,54,156
18/08/2021 20:12:19,ชาย,25,>10,Android,ไม่มี,80,175
18/08/2021 20:12:28,ชาย,23,>10,Android,มี,58,157
18/08/2021 20:12:38,ชาย,24,>10,iOS,มี,65,174
18/08/2021 20:12:39,ชาย,23,5,iOS,มี,66,160
18/08/2021 20:12:39,หญิง,30,>10,Android,มี,57,158
18/08/2021 20:12:40,ชาย,38,3,Android,มี,56,177
18/08/2021 20:12:45,หญิง,21,6,iOS,มี,47,158
18/08/2021 20:12:56,ชาย,23,3,Android,มี,60,165
18/08/2021 20:13:15,ชาย,45,1,Android,มี,60,167
18/08/2021 20:13:20,หญิง,40,>10,Android,มี,62,154
18/08/2021 20:13:21,ชาย,31,9,iOS,มี,70,170
18/08/2021 20:13:24,ชาย,36,8,Android,ไม่มี,66,168
18/08/2021 20:13:27,ชาย,57,5,Android,มี,60,165
18/08/2021 20:13:57,ชาย,22,7,Android,ไม่มี,65,177
18/08/2021 20:14:01,หญิง,29,>10,Android,มี,60,168
18/08/2021 20:14:12,หญิง,27,2,Android,มี,48,160
18/08/2021 20:14:36,ชาย,38,1,Android,มี,88,173
18/08/2021 20:15:01,หญิง,28,9,Android,มี,45,166
18/08/2021 20:15:43,หญิง,32,3,Android,มี,55,168
18/08/2021 20:21:10,หญิง,24,5,Android,ไม่มี,50,151
